,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
3,212578572,C6,18.971,0.717,LS,Y,0.347,0.022,1308.92,69.38,0,---,C17,"12,06","4,68","0,09","0,67","0,03",0.69,"0,02",3961,87,"-0,97","0,04",79,"3,2",M0.0
4,212578572,C17,32.803,0.45,LS,Y,1,0.173,3165.85,104.36,0,---,C17,"12,06","4,68","0,09","0,67","0,03",0.69,"0,02",3961,87,"-0,97","0,04",79,"3,2",M0.0
9,248857979,C14,16.236,0.478,LS,Y,0.625,0.174,1834.36,50.3,1,0.013,C14,"10,96","4,68","0,06","0,67","0,02",0.69,"0,02",3943,90,"-0,97","0,03","47,1","1,4",M0.0
10,212712577,C6,13.459,0.153,LS,Y,0.235,0.168,1607.63,51.95,0,---,C17,"10,86","4,68","0,05","0,67","0,02",0.69,"0,01",3933,88,"-0,96","0,02","44,3","1,2",M0.0
11,212712577,C17,29.509,0.22,ACF,?,0.675,0.106,1999.2,50.47,1,0.015,C17,"10,86","4,68","0,05","0,67","0,02",0.69,"0,01",3933,88,"-0,96","0,02","44,3","1,2",M0.0
16,248425357,C14,108.485,---,SINE,?,0.849,0.126,3072.95,113.42,2,0.026,C14,"12,04","4,65","0,06","0,68","0,02",0.69,"0,02",3998,85,"-0,95","0,03","77,4","2,3",M0.0
77,203869467,C2,46.944,2.191,LS,?,0.95,0.216,3418.82,190.63,0,---,C2,"10,69","4,68","0,04","0,67","0,02",0.69,"0,01",3950,84,"-0,97","0,02","39,1","0,9",M0.0
177,212712579,C17,27.114,2.711,LS,?,1.29,0.435,3428.65,51.15,0,---,C17,"10,88","4,68","0,05","0,67","0,02",0.69,"0,02",3933,87,"-0,96","0,02","44,3","1,2",M0.0
186,201779048,C1,25.805,0.542,ACF,Y,0.225,0.058,1626.83,70.08,2,0.025,C1,"10,78","4,66","0,06","0,68","0,02",0.69,"0,02",3954,86,"-0,95","0,03","43,9","1,3",M0.0
232,248849485,C14,18.658,0.056,LS,Y,0.95,0.173,3074.94,83.62,1,0.013,C14,"11,8","4,69","0,06","0,67","0,02",0.69,"0,02",3912,83,"-0,97","0,03","68,6",2,M0.0
236,228885036,C10,18.366,0.191,LS,Y,0.262,0.017,857.71,31.89,0,---,C10,"10,74","4,66","0,06","0,68","0,02",0.69,"0,02",3955,84,"-0,96","0,03","43,2","1,4",M0.0
313,201288384,C10,5.413,0.017,LS,Y,5.389,0.466,16968.86,925.26,3,0.043,C10,"10,75","4,65","0,06","0,68","0,02",0.69,"0,02",3985,85,"-0,95","0,03","43,3","1,3",M0.0
316,246301900,C19,4.503,0.153,LS,?,9.654,0.334,34565.9,1258.3,0,---,C19,"10,81","4,67","0,06","0,67","0,02",0.69,"0,02",3932,90,"-0,96","0,03","44,9","1,4",M0.0
317,246301900,C12,4.461,0.118,LS,Y,5.532,0.238,16088.18,721.45,3,0.038,C19,"10,81","4,67","0,06","0,67","0,02",0.69,"0,02",3932,90,"-0,96","0,03","44,9","1,4",M0.0
17,247730793,C13,108.067,---,SINE,?,0.21,0.314,642.34,73.17,1,0.013,C13,"11,17","4,74","0,06","0,66","0,02",0.68,"0,02",3894,100,"-0,99","0,03","48,4","1,4",M0.0
106,201367065,C1,38.861,0.655,ACF,Y,0.2,0.152,779.95,86.52,0,---,C1,"11,57","4,72","0,06","0,67","0,02",0.68,"0,02",3914,87,"-0,98","0,03","58,7","1,6",M0.0
110,201675315,C1,38.126,1.349,ACF,Y,0.506,0.059,2551.77,61.75,2,0.025,C1,"10,91","4,73","0,06","0,66","0,02",0.68,"0,02",3900,84,"-0,99","0,03","45,2","1,3",M0.0
156,201719818,C1,29.687,0.753,ACF,?,0.523,0.023,1562.58,51.8,0,---,C1,"9,98","4,73","0,07","0,66","0,02",0.68,"0,02",3937,87,"-0,99","0,03","28,3",1,M0.0
157,210778181,C4,29.687,1.179,ACF,Y,1.967,0.082,6084.7,53.42,4,0.058,C4,"11,15","4,74","0,06","0,66","0,02",0.68,"0,02",3904,96,"-0,99","0,03","50,5","1,4",M0.0
158,220611593,C8,29.616,0.594,LS,?,0.43,0.065,1323.57,71.33,2,0.026,C8,"12,16","4,72","0,08","0,66","0,02",0.68,"0,02",3940,87,"-0,98","0,04","77,7",3,M0.0
173,212560714,C6,27.532,0.251,LS,Y,0.361,0.018,1341.53,49.54,1,0.013,C17,"11,27","4,74","0,06","0,66","0,02",0.68,"0,02",3906,93,"-0,99","0,03","52,1","1,5",M0.0
174,212560714,C17,26.321,1.514,ACF,Y,0.443,0.104,1273.27,52.29,1,0.015,C17,"11,27","4,74","0,06","0,66","0,02",0.68,"0,02",3906,93,"-0,99","0,03","52,1","1,5",M0.0
222,214269391,C7,19.734,0.373,LS,Y,0.158,0.036,831.53,44.03,0,---,C7,"9,35","4,74","0,14","0,66","0,03",0.68,"0,03",3901,101,"-0,99","0,06","19,4","1,3",M0.0
289,201296234,C10,11.108,0.776,LS,?,0.09,0.057,915.28,925.26,3,0.043,C10,"12,07","4,74","0,11","0,66","0,03",0.68,"0,02",3920,91,"-0,99","0,05","75,6","3,8",M0.0
165,212652474,C17,28.026,0.44,LS,Y,0.893,0.062,2818.94,71.08,1,0.015,C17,12,"4,77","0,07","0,66","0,02",0.67,"0,02",3907,87,-1,"0,03","71,3","2,4",M0.0
166,247514292,C13,27.973,0.177,LS,?,0.994,0.069,2847.29,74.88,1,0.013,C13,"12,05","4,8","0,04","0,65","0,02",0.67,"0,01",3918,82,"-1,02","0,02","72,5","1,6",M0.0
219,211616023,C16,19.833,1.214,LS,Y,0.639,0.167,2002.47,61.99,0,---,C16,"10,78","4,78","0,06","0,65","0,02",0.67,"0,02",3945,97,"-1,01","0,03","39,9","1,2",M0.0
223,204536344,C2,19.594,0.032,ACF,Y,0.625,0.026,2365.36,48.62,1,0.013,C2,"9,72","4,78","0,11","0,65","0,03",0.67,"0,02",3899,92,"-1,01","0,05","24,5","1,2",M0.0
231,211481688,C5,18.828,0.975,LS,?,0.091,0.114,1681.07,94.14,0,---,C18,"11,81","4,76","0,33","0,66","0,07",0.67,"0,06",3893,156,-1,"0,13","66,7",10,M0.0
239,202059210,C0,17.796,0.41,LS,?,1.252,0.144,4813.81,126.01,0,---,C0,"11,9","4,81","0,07","0,65","0,02",0.67,"0,02",3926,84,"-1,02","0,03","46,4","1,6",M0.0
253,249655888,C15,16.305,0.293,ACF,Y,0.694,0.285,2165.3,99.56,5,0.058,C15,"11,55","4,79","0,13","0,65","0,03",0.67,"0,03",3912,99,"-1,02","0,05","56,8","3,4",M0.0
258,206435478,C3,16.056,0.517,LS,Y,0.445,0.069,4304.13,52.28,5,0.076,C3,"11,54","4,81","0,04","0,65","0,02",0.67,"0,01",3894,82,"-1,03","0,02","46,8","1,1",M0.0
