EPIC,CAMPAIGN,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
202059215,C0,13,"5,16","0,06","0,58","0,02","0,61","0,02",3773,82,"-1,18","0,03","60,8","1,8",M0.5
202059221,C0,"12,2","6,01","0,07","0,44","0,02","0,46","0,01",3499,86,"-1,56","0,03","19,2","0,7",M2.5
202059222,C0,"14,2","6,76","0,05","0,34","0,01","0,35","0,01",3308,79,"-1,89","0,02","26,3","0,6",M3.5
202059223,C0,"14,3","7,04","0,06","0,31","0,01","0,31","0,01",3288,80,"-2,01","0,03","21,2","0,7",M4.0
202059224,C0,"13,4","6,05","0,07","0,44","0,02","0,46","0,01",3478,81,"-1,58","0,03","32,8","1,2",M2.5
202059229,C0,"11,6","5,3","0,05","0,56","0,02","0,58","0,01",3689,82,"-1,24","0,03","22,9","0,6",M1.0
202059231,C0,"13,5","6,06","0,09","0,43","0,02","0,45","0,02",3527,83,"-1,59","0,04","30,4","1,3",M2.5
202059243,C0,"12,3","4,94","0,09","0,62","0,02","0,64","0,02",3828,86,"-1,09","0,04",54,"2,2",M0.5
201237257,C1,"10,59","4,88","0,06","0,63","0,02","0,65","0,02",3866,87,"-1,06","0,03","33,9",1,M0.0
201323410,C1,"12,34","6,39","0,06","0,39","0,01","0,4","0,01",3412,80,"-1,73","0,03","28,8","0,9",M3.0
201364753,C1,"11,46","4,9","0,07","0,63","0,02","0,65","0,02",3853,87,"-1,06","0,03","49,4","1,7",M0.0
201367065,C1,"11,57","4,72","0,06","0,67","0,02","0,68","0,02",3914,87,"-0,98","0,03","58,7","1,6",M0.0
201460770,C1,"11,58","5,18","0,04","0,58","0,02","0,6","0,01",3768,82,"-1,19","0,02","43,8",1,M1.0
201481218,C1,"9,62","4,88","0,09","0,63","0,03","0,65","0,02",3875,89,"-1,06","0,04","22,3",1,M0.0
201482319,C1,"12,11","7,18","0,1","0,29","0,01","0,29","0,01",3252,91,"-2,07","0,04","15,3","0,8",M4.0
201497866,C1,"12,27","5,96","0,08","0,45","0,02","0,47","0,02",3549,87,"-1,54","0,04","37,6","1,5",M2.5
201498184,C1,"12,38","6,15","0,11","0,42","0,02","0,44","0,02",3479,84,"-1,62","0,05","34,6","1,7",M2.5
201506253,C1,"11,37","5,03","0,06","0,61","0,02","0,63","0,02",3816,85,"-1,12","0,03",45,"1,3",M0.5
201518346,C1,"9,78","7,58","0,07","0,25","0,01","0,24","0,01",3152,80,"-2,25","0,03","4,1","0,1",M5.0
201568682,C1,"11,63","4,61","0,06","0,69","0,02","0,7","0,02",4012,86,"-0,93","0,03","64,1","1,9",K7.0
201597919,C1,"12,62","6,47","0,05","0,38","0,01","0,39","0,01",3389,80,"-1,76","0,03","31,4","0,8",M3.0
201611969,C1,"11,55","5,82","0,04","0,47","0,02","0,49","0,01",3552,81,"-1,48","0,02","29,8","0,7",M2.0
201675315,C1,"10,91","4,73","0,06","0,66","0,02","0,68","0,02",3900,84,"-0,99","0,03","45,2","1,3",M0.0
201717312,C1,"12,1","5,74","0,07","0,48","0,02","0,51","0,02",3542,83,"-1,44","0,03","39,8","1,4",M2.0
201717791,C1,"10,94","4,86","0,06","0,64","0,02","0,66","0,02",3873,90,"-1,05","0,03","41,1","1,3",M0.0
201718613,C1,"11,41","7,01","0,06","0,31","0,01","0,31","0,01",3261,89,-2,"0,03","12,7","0,4",M4.0
201719115,C1,"11,91","5,42","0,08","0,54","0,02","0,56","0,02",3643,85,"-1,3","0,04","45,4","1,8",M1.5
201719818,C1,"9,98","4,73","0,07","0,66","0,02","0,68","0,02",3937,87,"-0,99","0,03","28,3",1,M0.0
201779048,C1,"10,78","4,66","0,06","0,68","0,02","0,69","0,02",3954,86,"-0,95","0,03","43,9","1,3",M0.0
201806997,C1,"11,74","4,43","0,1","0,72","0,03","0,73","0,02",4038,92,"-0,85","0,04","79,8","3,8",K7.0
201842163,C1,"12,03","6,07","0,05","0,43","0,01","0,45","0,01",3574,82,"-1,59","0,02","30,4","0,7",M2.5
201867138,C1,"12,14","5,27","0,05","0,56","0,02","0,59","0,01",3743,81,"-1,23","0,03","54,5","1,5",M1.0
201909533,C1,"11,49","6,05","0,09","0,44","0,02","0,46","0,02",3549,88,"-1,58","0,04","23,3","1,1",M2.5
201912552,C1,"12,47","6,24","0,09","0,41","0,02","0,43","0,02",3471,85,"-1,66","0,04","34,1","1,5",M3.0
201917390,C1,"12,47","6,9","0,12","0,32","0,02","0,33","0,02",3308,82,"-1,95","0,05","21,8","1,2",M4.0
202571062,C2,"9,41","4,26","0,05","0,76","0,02","0,76","0,02",4110,84,"-0,77","0,02","31,8","0,8",K7.0
202748218,C2,"11,81","6,63","0,09","0,36","0,02","0,37","0,01",3340,83,"-1,83","0,04","19,8","0,9",M3.5
203083752,C2,"11,76","7,26","0,05","0,28","0,01","0,28","0,01",3182,79,"-2,11","0,03","22,3","0,6",M4.5
203099398,C2,"10,63","4,82","0,04","0,65","0,02","0,66","0,01",3862,84,"-1,03","0,02","36,6","0,8",M0.0
203124214,C2,"10,34","4,49","0,05","0,71","0,02","0,72","0,02",4033,90,"-0,88","0,03","39,8","1,1",K7.0
203354308,C2,"10,5","4,96","1,52","0,62","0,29","0,64","0,21",3819,918,"-1,09","0,62","27,8","19,5",M0.5
203740889,C2,"12,51","6,53","0,27","0,37","0,04","0,38","0,04",3379,100,"-1,79","0,11","23,9","2,9",M3.0
203846654,C2,"9,45","4,99","0,04","0,61","0,02","0,64","0,01",3850,84,"-1,11","0,02","19,1","0,4",M0.5
203869467,C2,"10,69","4,68","0,04","0,67","0,02","0,69","0,01",3950,84,"-0,97","0,02","39,1","0,9",M0.0
203881088,C2,"12,26","5,88","0,05","0,46","0,02","0,48","0,01",3511,81,"-1,51","0,02",40,"0,9",M2.5
204080947,C2,"12,47","5,23","0,04","0,57","0,02","0,59","0,01",3725,80,"-1,21","0,02","53,9","1,2",M1.0
204536344,C2,"9,72","4,78","0,11","0,65","0,03","0,67","0,02",3899,92,"-1,01","0,05","24,5","1,2",M0.0
204610472,C2,"12,07","5,62","0,07","0,5","0,02","0,53","0,02",3611,83,"-1,39","0,03","46,8","1,6",M2.0
204927969,C2,"11,7","7,14","0,1","0,3","0,01","0,3","0,01",3257,86,"-2,05","0,04","18,7","0,9",M4.0
204957517,C2,"12,47","7,32","0,05","0,27","0,01","0,27","0,01",3240,83,"-2,13","0,02","16,6","0,5",M4.5
204963027,C2,11,"5,31","1,52","0,56","0,27","0,58","0,22",3719,792,"-1,25","0,62","31,1","21,8",M1.0
204976998,C2,"10,34","4,81","0,04","0,65","0,02","0,67","0,01",3929,85,"-1,02","0,02","29,7","0,7",M0.0
204994054,C2,"11,36","4,92","0,04","0,63","0,02","0,65","0,01",3894,81,"-1,07","0,02","43,7",1,M0.0
205030726,C2,"11,18","5,72","0,06","0,49","0,02","0,51","0,01",3576,91,"-1,43","0,03","25,9","0,8",M2.0
205040974,C2,"11,31","5,78","0,06","0,48","0,02","0,5","0,01",3585,85,"-1,46","0,03","26,2","0,7",M2.0
205182959,C2,"12,42","5,73","0,08","0,49","0,02","0,51","0,02",3584,83,"-1,44","0,04","46,5","1,8",M2.0
205196227,C2,"11,53","4,95","0,06","0,62","0,02","0,64","0,01",3899,87,"-1,09","0,03","50,4","1,4",M0.5
205339436,C2,"12,8","6,91","0,05","0,32","0,01","0,33","0,01",3295,81,"-1,95","0,02","25,2","0,6",M4.0
205467732,C2,"12,93","7,85","0,05","0,22","0,01","0,22","0,01",3095,81,"-2,36","0,02","14,7","0,4",M5.0
205489894,C2,"12,34","5,77","0,04","0,48","0,02","0,5","0,01",3589,80,"-1,45","0,02","43,6",1,M2.0
205507325,C2,"12,45","6,12","0,07","0,43","0,02","0,45","0,01",3468,81,"-1,61","0,03","36,5","1,3",M2.5
205536237,C2,"9,97","5,11","0,06","0,59","0,02","0,62","0,01",3800,84,"-1,16","0,03","22,1","0,6",M0.5
205599283,C2,"11,49","4,47","0,05","0,71","0,02","0,72","0,02",4054,86,"-0,87","0,03","65,4","1,8",K7.0
205631193,C2,"11,62","5,17","0,04","0,58","0,02","0,61","0,01",3802,90,"-1,19","0,02","39,9","0,9",M1.0
205913009,C3,"12,25","7,75","0,06","0,23","0,01","0,23","0,01",3103,87,"-2,32","0,03","11,8","0,3",M5.0
205952383,C3,"11,1","4,44","0,06","0,72","0,02","0,73","0,02",4069,85,"-0,85","0,03",60,"1,8",K7.0
206007536,C3,"10,86","4,48","0,06","0,71","0,02","0,72","0,02",4047,85,"-0,87","0,03",52,"1,5",K7.0
206019392,C3,"8,38","7,05","0,06","0,31","0,01","0,31","0,01",3273,86,"-2,01","0,03","3,9","0,1",M4.0
206054454,C3,12,"5,9","0,07","0,46","0,02","0,48","0,01",3552,86,"-1,51","0,03","33,9","1,2",M2.5
