angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Date,FNum,Per,r_Per,Amp,Ha,HaLum,FLum,PCat,Simbad,_RA,_DE
0.000000,289.31967,46.4052889,9704431,15.701, 2-17,3360,43,37,4.961,0.04,0.044,0.274,0.047,0.034,11.93,0.78,8340.9,324.1,,,0,0,,0,M17,Simbad,289.31967,46.40529,289.31967,46.4052889,9704431,1119.76,364,12.043,Mc2014,15649,no data,,3.056E-5,2,Simbad,289.31967,46.40529
0.000000,293.05756,46.4185981,9713196,15.88,14-17,3917,136,136,4.656,0.056,0.02,0.611,0.041,0.062,8.38,0.65,3634.4,181.5,,,,,,0,M17,Simbad,293.05756,46.4186,293.05756,46.4185981,9713196,214.76,77,3.846,This work,18315,no data,,7.332E-5,0,Simbad,293.05756,46.4186
0.000000,291.56519,38.6721381,3545104,14.589, 1-17,3857,120,147,4.658,0.064,0.02,0.606,0.04,0.06,86.64,7.96,3360.4,48.9,,,0,0,,0,M17,Simbad,291.56519,38.67214,291.56519,38.6721381,3545104,1415.23,59,,No period,890,no data,,8.16E-7,1,Simbad,291.56519,38.67214
0.000000,293.98499,46.4632569,9715460,17.462, 8-17,3101,0,0,5.153,0.0,0.0,0.134,0.0,0.0,57.56,4.82,3681.4,101.6,,,0,0,,2,M17,Simbad,293.98499,46.46326,293.98499,46.4632569,9715460,484.75,63,,No period,6057,no data,,1.556E-5,0,Simbad,293.98499,46.46326
0.000000,286.81293,38.7879489,3631048,15.922,14-17,3683,117,147,4.688,0.075,0.02,0.564,0.036,0.072,5.88,0.4,6665.9,377.2,,,1,0,,2,M17,Simbad,286.81293,38.78795,286.81293,38.7879489,3631048,312.39,103,6.01,This work,13596,no data,,3.226E-5,0,Simbad,286.81293,38.78795
0.000000,290.00006,38.7439919,3640527,15.043, 1-17,3422,46,41,4.914,0.042,0.031,0.334,0.041,0.037,20.63,1.87,4423.5,159.6,,,0,0,,0,M17,Simbad,290.00006,38.74399,290.00006,38.7439919,3640527,716.68,138,21.142,This work,8881,no data,,5.756E-6,0,Simbad,290.00006,38.74399
0.000000,291.73129,38.7439311,3646734,14.92, 1-17,3885,122,136,4.647,0.067,0.018,0.617,0.036,0.062,15.64,1.24,4565.1,155.4,,,,,,0,M17,Simbad,291.73129,38.74393,291.73129,38.7439311,3646734,1415.23,251,14.702,Mc2014,10560,no data,,6.176E-6,2,Simbad,291.73129,38.74393
0.000000,297.78909,46.483665,9726699,12.738, 0-17,2661,0,0,5.283,0.0,0.0,0.094,0.0,0.0,0.58,0.04,5860.5,991.6,1,,,,,2,M17,Simbad,297.78909,46.48366,297.78909,46.483665,9726699,966.78,148,0.592,This work,7923,emission,1.017796E-4,2.458E-4,0,Simbad,297.78909,46.48366
0.000000,287.10172,46.5028989,9761113,14.516, 1-17,3336,43,40,4.983,0.045,0.045,0.252,0.047,0.034,0.67,0.05,7663.4,1226.6,1,,0,0,,2,M17,Simbad,287.10172,46.5029,287.10172,46.5028989,9761113,1153.23,276,0.684,Mc2014,11571,no data,1.023479E-4,3.228E-5,2,Simbad,287.10172,46.5029
0.000000,286.13431,38.8734819,3730841,15.632, 4-17,3935,59,53,4.696,0.028,0.014,0.558,0.026,0.021,11.29,0.87,3042.8,130.7,,,,,,0,M17,Simbad,286.13431,38.87348,286.13431,38.8734819,3730841,1203.81,36,11.447,Mc2014,7544,no data,,2.112E-6,1,Simbad,286.13431,38.87348
